pais,emissao_2010,emissao_2020,reducao_emissao
Djibouti,1.135,1.012,-0.123
Liechtenstein,0.366,0.267,-0.09899999999999998
French Polynesia,0.923,0.832,-0.09100000000000008
Vanuatu,-0.44299999999999995,-0.532,-0.08900000000000008
Sao Tome and Principe,0.38599999999999995,0.29700000000000004,-0.08899999999999991
Moldova,7.473,7.431999999999999,-0.04100000000000126
Montserrat,0.059,0.022,-0.037
British Virgin Islands,0.213,0.18,-0.033
Saint Vincent and the Grenadines,0.433,0.41,-0.02300000000000002
Cook Islands,0.146,0.132,-0.013999999999999985
Saint Kitts and Nevis,0.40900000000000003,0.397,-0.01200000000000001
Saint Pierre and Miquelon,0.066,0.062,-0.0040000000000000036
Wallis and Futuna,0.029,0.026,-0.0030000000000000027
